STATE,COUNTY,FIPS,RPL_THEMES,F_TOTAL
UTAH,Cache,49005000501,0.94,3
UTAH,Salt Lake,49035111400,0.9417,3
UTAH,Salt Lake,49035111906,0.9434,3
UTAH,Weber,49057201800,0.9451,8
UTAH,Salt Lake,49035100500,0.9468,6
UTAH,Weber,49057200203,0.9485,4
UTAH,Salt Lake,49035102802,0.9503,6
UTAH,Utah,49049002902,0.952,2
UTAH,Salt Lake,49035102600,0.9537,7
UTAH,Iron,49021110500,0.9554,0
UTAH,Salt Lake,49035113906,0.9571,2
UTAH,Washington,49053271200,0.9588,3
UTAH,Salt Lake,49035113307,0.9605,7
UTAH,Washington,49053271400,0.9623,3
UTAH,Weber,49057201302,0.964,7
UTAH,Salt Lake,49035111500,0.9657,6
UTAH,Salt Lake,49035113305,0.9674,5
UTAH,Carbon,49007000300,0.9691,6
UTAH,Salt Lake,49035113536,0.9708,6
UTAH,Salt Lake,49035113514,0.9726,7
UTAH,Tooele,49045130600,0.9743,7
UTAH,Weber,49057201200,0.976,10
UTAH,Salt Lake,49035113802,0.9777,9
UTAH,Davis,49011125701,0.9794,7
UTAH,Weber,49057200300,0.9811,6
UTAH,Salt Lake,49035102701,0.9828,6
UTAH,Salt Lake,49035102702,0.9846,7
UTAH,Salt Lake,49035102900,0.9863,7
UTAH,Salt Lake,49035100600,0.988,6
UTAH,Weber,49057200202,0.9897,5
UTAH,San Juan,49037942000,0.9914,11
UTAH,Salt Lake,49035113406,0.9931,7
UTAH,Weber,49057200900,0.9949,11
UTAH,San Juan,49037942100,0.9966,10
UTAH,Salt Lake,49035100306,0.9983,11
UTAH,Utah,49049002801,1.0,8
